"id"	"institute"	"town"	"socken"	"harad"	"diocese"	"shape"	"year"
"UMF1875"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"?UMF1875"	"Gustavianum"	""	""	""	""	"staff, hexagonal"	"0"
"UMF1876"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1877"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1878"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1879"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1880"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1881"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"1741"
"UMF1882"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1883"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, hexagonal"	"0"
"UMF1884"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, hexagonal"	"0"
"UMF1885"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, hexagonal"	"0"
"UMF1886"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, hexagonal"	"0"
"UMF1887"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1888"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1889"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1890"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"UMF1891"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1892"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1893"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1894"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1895"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1896"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1897"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1898"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1899"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1900"	"Gustavianum"	"0"	"0"	"0"	"0"	"staff"	"0"
"UMF1902"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1903"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1904"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1905"	"Gustavianum"	""	""	""	""	""	""
"UMF1906"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"0"
"UMF1907"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"0"
"UMF1908"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"0"
"UMF1909"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"0"
"UMF1910"	"Gustavianum"	"0"	"0"	"0"	"0"	"paddle"	"0"
"UMF1912"	"Gustavianum"	""	""	""	""	""	""
"UMF1921"	"Gustavianum"	""	""	""	""	""	""
"UMF1922"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMF1931"	"Gustavianum"	"Probably Northern Uppland"	"0"	"0"	"Uppsala"	"staff, octagonal"	"1662"
"UMF1932"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMFB682"	"Gustavianum"	"0"	"0"	"0"	"0"	"snuff box"	"1787"
"UMFB1005"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword, hexagonal"	"0"
"UMFB1006"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"UMFEC197"	"Gustavianum"	"0"	"0"	"0"	"0"	"sword"	"0"
"ÖLM1072"	"Örebro länsmuseum"	"0"	"0"	"0"	"Uppsala"	"sword"	"1500s probably, though dated 1664"
"ÖLM1073"	"Örebro länsmuseum"	"Linköping, SL (probably active in Linköping 1595-1620)"	"0"	"0"	"Linköping"	"staff, heptagonal"	"1614"
"ÖLM1075"	"Örebro länsmuseum"	"Linköping, SL (probably active in Linköping 1595-1620)"	"0"	"0"	"Linköping"	"staff, heptagonal"	"1595-1620"
"ÖLM1076"	"Örebro länsmuseum"	"Östersjökusten, possibly Svealandskusten based on form and content"	"0"	"0"	"0"	"paddle/sword"	"0"
"ÖLM1078:2"	"Örebro länsmuseum"	"Probably Östergötland or Kalmar län"	"0"	"0"	"Linköping"	"sword, long handle"	"probably early 1600s"
"ÖLM1078:3"	"Örebro länsmuseum"	"Probably Östergötland or Kalmar län"	"0"	"0"	"Linköping"	"sword"	"probably early 1600s, later dating 1717"
"ÖLM1078:4"	"Örebro länsmuseum"	"Possibly Småland"	"0"	"0"	"Linköping"	"sword, long handle"	"probably early 1600s"
"ÖLM11082"	"Örebro länsmuseum"	"Åtorp, Värmland"	"Nysund"	"Edsbergs härad"	"Skara"	"staff, octagonal"	"1636"
"VLM245"	"Västmanlands läns museum, Västerås"	"Uppland"	"0"	"0"	"Uppsala"	"sword"	"early 1600s"
"VLM246"	"Västmanlands läns museum, Västerås"	"0"	"0"	"0"	"Skara"	"staff"	"0"
"VLM247"	"Västmanlands läns museum, Västerås"	"?Roslagen"	"0"	"0"	"Uppsala"	"sword"	"1594"
"VLM289"	"Västmanlands läns museum, Västerås"	""	""	""	""	"oval/split"	"1624"
"VLM756"	"Västmanlands läns museum, Västerås"	"0"	"0"	"0"	"Västerås"	"paddle"	"1646"
"VLM756A"	"Västmanlands läns museum, Västerås"	"0"	"0"	"0"	"Västerås"	"paddle"	"1649, 1650, 1651, 1670"
"VLM756B"	"Västmanlands läns museum, Västerås"	"0"	"0"	"0"	"Västerås"	"paddle"	"1660, 1664, 1697, 1699, 1695"
"VLM3204"	"Västmanlands läns museum, Västerås"	"Norway"	"0"	"0"	"Norway"	"staff, hexagonal"	"1673"
"VM2668"	"Värmlands museum, Karlstad"	""	""	""	""	""	""
"VM2669"	"Värmlands museum, Karlstad"	""	""	""	""	""	"1685"
"VM2670"	"Värmlands museum, Karlstad"	""	""	""	""	""	"1693"
"VM2671"	"Värmlands museum, Karlstad"	"?Värmlands Finnmark"	"0"	"0"	"Åbo"	"staff"	"?1759"
"VM2672"	"Värmlands museum, Karlstad"	"0"	"0"	"0"	"Åbo"	"staff"	"1729"
"VM3107"	"Värmlands museum, Karlstad"	"Värmland (b/c norwegian and skara saints)"	"0"	"0"	"Skara"	"sword"	"0"
